ticker,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
138040,메리츠금융지주,"356,499(21)","21,677","16,340",5.05(21),3.88(21),28.65,"1,091.74(21)",(21),"9,717.30(21)","8,034",5.30,"29,521",1.44,90,0.48(21),3.35(21)
009540,한국조선해양,"179,455","-3,878",647,-2.16,0.36,0.56,119.86(21),66.38(21),"4,766.69(21)",769,107.91,"137,429",0.60,-,-,-
402340,SK스퀘어,"50,817","8,639","9,743",17.00,19.17,5.42,34.31(21),107.34(21),"51,465.72(21)","6,576",5.57,"124,975",0.29,-,-,-
097950,CJ제일제당,"302,378","17,541","9,055",5.80,3.00,10.44,148.51(21),61.09(21),"7,393.50(21)","42,106",8.28,"442,814",0.79,"5,659",1.29(21),13.08(21)
251270,넷마블,"26,786","-1,049","-4,693",-3.92,-17.52,-7.61,77.50(21),61.37(21),"71,333.18(21)","-4,987",-12.75,"66,727",0.95,456,-,18.01(21)
035250,강원랜드,"12,962","2,587","1,607",19.96,12.39,4.66,17.66(21),270.31(21),"3,103.60(21)",723,31.82,"16,698",1.38,472,-,-
018880,한온시스템,"85,276","2,592","1,398",3.04,1.64,5.68,232.45(21),97.00(21),"4,416.20(21)",249,38.49,"4,393",2.19,361,2.68(21),62.27(21)
032640,LG유플러스,"139,422","10,253","6,591",7.35,4.73,8.29,143.39(21),64.09(21),202.06(21),"1,498",7.57,"18,854",0.60,649,4.04(21),33.35(21)
361610,SK아이이테크놀로지,"5,884",-501,-465,-8.52,-7.90,-2.25,43.69(21),228.99(21),"3,006.86(21)",-692,-104.18,"30,540",2.36,-,-,-
267250,HD현대,"607,560","36,842","25,200",6.06,4.15,21.30,201.29(21),62.33(21),"8,515.69(21)","18,567",3.24,"105,500",0.57,"4,150",10.34(21),-296.46(21)
271560,오리온,"27,919","4,588","3,371",16.43,12.07,13.69,36.11(21),172.20(21),"7,312.90(21)","8,308",14.84,"65,470",1.88,794,0.72(21),11.50(21)
034220,LG디스플레이,"263,803","-18,856","-18,549",-7.15,-7.03,-14.71,158.46(21),70.22(21),603.25(21),"-5,099",-2.59,"32,663",0.40,354,2.64(21),19.61(21)
004020,현대제철,"274,566","19,903","13,332",7.25,4.86,7.12,102.86(21),68.37(21),"2,437.63(21)","9,817",3.64,"143,903",0.25,988,2.44(21),9.00(21)
028050,삼성엔지니어링,"96,718","6,485","5,268",6.71,5.45,23.09,209.04(21),97.36(21),100.99(21),"2,704",9.10,"13,209",1.86,38,-(21),-(21)
005830,DB손해보험,"208,806(21)","11,084(21)","9,620",5.31(21),4.18(21),15.44,861.78(21),(21),"19,349.04(21)","13,517",4.79,"95,897",0.68,"4,296",6.48(21),24.17(21)
047810,한국항공우주,"27,833","1,496","1,505",5.37,5.41,11.55,351.29(21),77.32(21),164.79(21),"1,580",30.66,"14,330",3.38,269,0.62(21),30.51(21)
010140,삼성중공업,"59,982","-6,187","-4,576",-10.31,-7.63,-11.61,196.26(21),32.92(21),469.56(21),-520,-11.22,"4,423",1.32,-,-,-
000720,현대건설,"207,695","6,697","7,390",3.23,3.56,8.14,108.26(21),180.89(21),"1,198.84(21)","5,467",6.86,"70,112",0.53,621,1.35(21),16.56(21)
078930,GS,"287,472","52,088","30,525",18.12,10.62,22.76,119.61(21),69.12(21),"2,708.44(21)","27,993",1.54,"137,396",0.31,"2,175",5.12(21),13.07(21)
011780,금호석유,"81,402","12,257","10,273",15.06,12.62,18.90,59.67(21),112.68(21),"2,952.02(21)","31,115",4.71,"214,295",0.68,"6,433",6.02(21),14.29(21)
006800,미래에셋증권,"239,430","9,435","7,116",3.94,2.97,6.49,923.96(21),(21),170.58(21),902,7.58,"17,726",0.39,196,3.47(21),16.32(21)
000100,유한양행,"17,995",356,769,1.98,4.28,4.09,27.27(21),188.33(21),"2,687.89(21)","1,025",51.99,"27,542",1.94,367,0.61(21),25.42(21)
008560,메리츠증권,"232,474(21)","10,250","8,090",4.08(21),3.37(21),15.77(21),914.32(21),(21),621.09(21),"1,166",5.68,"8,360(21)",0.62(21),100,1.94(21),9.29(21)
161390,한국타이어앤테크놀로지,"83,086","6,824","7,915",8.21,9.53,9.12,42.64(21),166.70(21),"13,180.13(21)","6,298",5.35,"73,327",0.46,700,1.76(21),14.28(21)
047050,포스코인터내셔널,"339,489(21)","5,854(21)","3,565(21)",1.72(21),1.05(21),10.86(21),206.67(21),92.62(21),462.13(21),"2,924(21)",7.68(21),"28,259(21)",0.79(21),800(21),3.56(21),27.36(21)
021240,코웨이,"38,888","6,766","4,952",17.40,12.73,23.82,99.57(21),67.39(21),"4,685.25(21)","6,697",8.42,"30,906",1.82,"1,297",1.68(21),19.48(21)
012450,한화에어로스페이스,"64,544","3,496","2,245",5.42,3.48,7.81,180.95(21),106.40(21),843.51(21),"4,541",17.93,"59,224",1.37,580,-,14.01(21)
011790,SKC,"37,549","3,140","2,418",8.36,6.44,8.56,170.78(21),75.65(21),999.44(21),"4,896",20.06,"68,605",1.43,"1,035",0.63(21),17.87(21)
241560,두산밥캣,"82,020","10,223","5,388",12.46,6.57,11.75,98.57(21),98.70(21),"9,238.40(21)","5,373",6.56,"48,348",0.73,"1,275",2.94(21),31.17(21)
029780,삼성카드,"39,768","7,422","5,569",18.66,14.00,8.88,261.28(21),(21),"1,187.77(21)","4,864",6.35,"48,552",0.64,"2,467",7.30(21),44.54(21)
071050,한국금융지주,"137,861(21)","8,260","6,926",11.03(21),12.80(21),9.10,"1,004.41(21)",(21),"2,328.63(21)","11,280",5.62,"134,851",0.47,"2,560",7.62(21),20.37(21)
004990,롯데지주,"137,615","5,070","3,635",3.68,2.64,4.01,106.89(21),79.86(21),"44,037.03(21)","2,690",11.88,"100,683",0.32,"1,500",5.02(21),34.78(21)
002790,아모레G,"44,522","2,505","1,938",5.63,4.35,3.17,24.13(21),126.03(21),"7,200.87(21)","1,101",35.83,"37,356",1.06,414,1.01(21),23.30(21)
128940,한미약품,"13,434","1,592","1,075",11.85,8.00,10.46,108.64(21),69.45(21),"2,682.80(21)","7,101",37.18,"72,533",3.64,489,0.18(21),8.94(21)
028670,팬오션,"64,855","8,047","7,122",12.41,10.98,17.23,80.40(21),96.10(21),522.56(21),"1,332",4.60,"8,739",0.70,112,1.85(21),9.73(21)
008770,호텔신라,"50,000","1,121",449,2.24,0.90,7.51,360.47(21),45.60(21),242.58(21),"1,118",74.06,"16,224",5.10,204,0.26(21),28.11(21)
005940,NH투자증권,"154,280","5,186","3,052",3.36,1.98,4.52,757.97(21),(21),324.87(21),925,10.32,"20,773",0.46,461,8.40(21),35.63(21)
010620,현대미포조선,"36,494",-374,927,-1.03,2.54,4.29,75.94(21),54.62(21),859.07(21),"2,381",33.93,"56,853",1.42,62,-,-
016360,삼성증권,"171,390","6,803","5,033",3.97,2.94,8.21,980.55(21),(21),"1,226.33(21)","5,665",6.24,"69,944",0.51,"2,167",8.46(21),35.15(21)
282330,BGF리테일,"76,042","2,626","1,963",3.45,2.58,22.21,220.81(21),68.85(21),"4,439.53(21)","11,332",16.85,"55,268",3.45,"3,307",2.06(21),35.10(21)
064350,현대로템,"31,611","1,365",937,4.32,2.96,7.25,223.85(21),47.66(21),86.41(21),889,32.38,"12,686",2.27,-,-,-
137310,에스디바이오센서,"29,928","13,402","13,195",44.78,44.09,47.56,36.39(21),200.44(21),"4,298.27(21)","12,761",2.30,"32,858",0.89,"1,384",-,12.03(21)
139480,이마트,"294,018","1,853","9,020",0.63,3.07,8.35,151.95(21),31.70(21),"6,352.86(21)","31,941",3.30,"412,693",0.26,"1,929",1.32(21),3.54(21)
036460,한국가스공사,"495,809","18,585","10,852",3.75,2.19,11.42,378.87(21),68.11(21),"1,777.35(21)","11,566",2.82,"114,546",0.28,"1,376",6.98(21),24.63(21)
001450,현대해상,"188,422(21)","6,393(21)","5,730",3.39(21),2.30(21),12.01,954.67(21),(21),"11,255.03(21)","6,409",5.02,"57,872",0.56,"1,755",6.45(21),26.83(21)
003410,쌍용C&E,"19,177","1,611",834,8.40,4.35,5.15,115.33(21),69.12(21),"3,324.22(21)",166,34.85,"3,156",1.83,440,5.71(21),118.85(21)
112610,씨에스윈드,"14,138",763,200,5.39,1.41,2.72,87.36(21),126.08(21),"4,102.94(21)",581,114.81,"21,874",3.05,551,0.91(21),38.22(21)
020150,일진머티리얼즈,"7,943",984,711,12.39,8.95,6.11,29.96(21),299.36(21),"4,137.52(21)","1,486",43.46,"27,199",2.38,300,0.22(21),22.04(21)
007070,GS리테일,"111,676","2,175","1,017",1.95,0.91,2.66,114.21(21),39.34(21),"3,875.77(21)","1,033",27.40,"39,697",0.71,995,3.95(21),15.04(21)
180640,한진칼,"2,020",160,"8,470",7.92,419.31,42.98,105.83(21),24.64(21),505.18(21),"12,943",3.21,"36,567",1.14,-,-,-
023530,롯데쇼핑,"155,690","4,660",759,2.99,0.49,0.40,183.35(21),51.72(21),"8,887.52(21)","1,412",66.63,"351,481",0.27,"2,846",3.21(21),-27.08(21)
030000,제일기획,"41,804","3,229","2,242",7.72,5.36,19.03,125.51(21),161.92(21),"6,385.50(21)","1,932",11.44,"12,034",1.84,"1,117",4.33(21),60.59(21)
088350,한화생명,"271,736(21)","13,520(21)","8,910",4.98(21),4.60(21),10.07,"1,119.05(21)",(21),230.30(21),923,2.81,"6,190",0.42,15,-,-
039490,키움증권,"54,165","6,815","4,914",12.58,9.07,11.11,953.06(21),(21),"2,889.20(21)","16,919",5.99,"165,625",0.61,"2,249",3.27(21),11.59(21)
001040,CJ,"408,843","22,966","8,631",5.62,2.11,5.96,154.84(21),69.78(21),"2,682.28(21)","8,924",9.27,"167,200",0.49,"2,483",2.76(21),28.09(21)
014680,한솔케미칼,"8,983","1,950","1,569",21.71,17.47,19.73,55.91(21),155.21(21),"1,110.01(21)","12,895",16.21,"72,809",2.87,"2,229",0.69(21),15.75(21)
272210,한화시스템,"21,200",416,-141,1.96,-0.66,-0.84,73.87(21),162.08(21),138.65(21),-98,-140.67,"11,770",1.17,130,1.00(21),30.43(21)
138930,BNK금융지주,"55,807(21)","11,995","8,886",19.57(21),14.95(21),8.82,"1,154.86(21)",(21),527.74(21),"2,595",2.79,"30,360",0.24,606,6.67(21),22.97(21)
052690,한전기술,"4,628",173,186,3.73,4.02,3.58,37.41(21),130.01(21),"6,756.73(21)",487,133.59,"13,814",4.71,243,0.28(21),55.03(21)
004170,신세계,"77,694","7,108","4,620",9.15,5.95,9.07,136.78(21),32.33(21),"7,083.79(21)","35,899",6.37,"411,357",0.56,"3,312",1.18(21),9.62(21)
006040,동원산업,"28,022(21)","2,607(21)","1,715(21)",9.30(21),6.12(21),12.59(21),105.26(21),68.23(21),"7,873.61(21)","9,202(21)",4.93(21),"84,257(21)",0.54(21),"1,000(21)",2.20(21),10.08(21)
006260,LS,"179,679","7,275","5,357",4.05,2.98,12.17,168.05(21),93.65(21),"2,177.57(21)","14,183",4.68,"144,113",0.46,"1,490",2.68(21),14.49(21)
336260,두산퓨얼셀,"2,909",-21,21,-0.71,0.73,0.46,34.87(21),139.42(21),"6,223.91(21)",29,"1,171.70","6,371",5.37,44,-,-
012750,에스원,"24,756","2,091","1,520",8.45,6.14,10.30,36.74(21),109.78(21),"8,271.23(21)","4,000",14.82,"44,602",1.33,"2,533",3.38(21),65.53(21)
042660,대우조선해양,"51,751","-11,065","-11,848",-21.38,-22.89,-66.83,379.04(21),43.45(21),-181.66(21),"-11,043",-2.21,"12,383",1.97,-,-,-
081660,휠라홀딩스,"42,386","4,692","3,445",11.07,8.13,13.22,85.95(21),120.56(21),"2,477.43(21)","3,734",10.30,"30,314",1.27,"1,317",2.79(21),25.55(21)
010060,OCI,"46,874","9,516","7,654",20.30,16.33,21.63,82.60(21),139.94(21),"2,268.54(21)","32,009",2.94,"169,325",0.56,"2,300",1.92(21),7.36(21)
000120,CJ대한통운,"123,449","4,175","2,245",3.38,1.82,5.68,123.93(21),81.91(21),"2,700.68(21)","8,842",10.39,"177,589",0.52,7,-,-
000880,한화,"625,880","33,140","26,290",5.29,4.20,43.54,861.49(21),70.03(21),"1,045.63(21)","16,367",1.72,"26,318",1.07,805,2.39(21),7.75(21)
000990,DB하이텍,"17,183","8,118","6,312",47.24,36.73,44.73,40.13(21),137.31(21),431.38(21),"14,181",3.26,"39,487",1.17,483,0.62(21),6.17(21)
001440,대한전선,"19,977(21)",395(21),289(21),1.98(21),1.45(21),7.78(21),266.43(21),73.65(21),54.63(21),30(21),54.96(21),400(21),4.08(21),-,-,-
204320,HL만도,"74,590","2,806","2,706",3.76,3.63,12.51,179.04(21),112.27(21),"3,233.97(21)","5,482",8.27,"46,080",0.98,845,1.26(21),22.45(21)
004370,농심,"31,056","1,000","1,190",3.22,3.83,5.31,31.77(21),126.21(21),"7,246.61(21)","19,557",16.98,"397,440",0.84,"4,000",1.26(21),23.17(21)
006360,GS건설,"114,451","5,674","5,542",4.96,4.84,10.13,211.61(21),85.06(21),"1,018.20(21)","5,740",4.09,"59,741",0.39,"1,279",3.28(21),27.02(21)
008930,한미사이언스,"9,502(21)",589(21),429(21),6.19(21),4.52(21),6.37(21),37.61(21),50.23(21),"2,104.43(21)",614(21),86.68(21),"10,062(21)",5.29(21),192(21),0.36(21),30.72(21)
026960,동서,"5,353(21)",384(21),"1,151(21)",7.17(21),21.51(21),8.05(21),9.25(21),"1,230.07(21)","2,678.79(21)","1,137(21)",27.27(21),"14,531(21)",2.13(21),700(21),2.26(21),60.93(21)
002380,KCC,"67,876","5,085",796,7.49,1.17,1.32,139.56(21),86.62(21),"10,879.41(21)","7,613",31.20,"705,634",0.34,"6,350",2.22(21),-117.10(21)
000080,하이트진로,"24,982","1,948","1,114",7.80,4.46,10.02,232.16(21),60.72(21),220.09(21),"1,576",16.59,"16,477",1.59,822,2.65(21),77.90(21)
111770,영원무역,"37,601","7,840","6,491",20.85,17.26,23.63,45.74(21),266.69(21),"9,223.27(21)","13,288",3.25,"63,024",0.69,"1,223",2.29(21),14.72(21)
047040,대우건설,"100,374","7,092","5,229",7.07,5.21,14.85,225.15(21),94.20(21),73.35(21),"1,251",3.77,"9,223",0.51,-,-,-
007310,오뚜기,"31,406","1,836","1,365",5.85,4.35,8.54,69.38(21),63.44(21),"9,216.01(21)","35,297",13.40,"427,405",1.11,"8,400",1.75(21),21.02(21)
069620,대웅제약,"12,380","1,106",686,8.93,5.54,10.81,101.48(21),75.54(21),"2,053.07(21)","5,627",26.92,"57,113",2.65,600,0.41(21),26.93(21)
298050,효성첨단소재,"39,172","3,209","1,700",8.19,4.34,23.59,303.09(21),45.34(21),"2,372.60(21)","35,318",10.87,"165,056",2.33,"9,375",1.68(21),17.82(21)
298020,효성티앤씨,"91,256","1,008",110,1.10,0.12,-0.53,156.66(21),69.32(21),"6,354.40(21)","-1,681",-232.59,"311,300",1.26,"7,750",9.60(21),28.01(21)
079550,LIG넥스원,"22,189","1,924","1,622",8.67,7.31,19.42,237.59(21),58.36(21),532.75(21),"7,373",11.00,"41,617",1.95,"1,240",1.75(21),24.89(21)
000150,두산,"156,687","10,770",485,6.87,0.31,-6.11,206.10(21),61.22(21),"2,186.51(21)","-6,296",-14.17,"126,383",0.71,"2,250",1.69(21),16.89(21)
004000,롯데정밀화학,"25,235","4,172","1,382",16.53,5.48,6.65,23.87(21),178.06(21),"1,627.58(21)","5,805",9.70,"90,389",0.62,"2,025",3.07(21),10.01(21)
004800,효성,"36,755","1,170","1,030",3.18,2.80,3.18,75.72(21),64.30(21),"7,071.70(21)","3,939",17.77,"130,566",0.54,"6,250",6.86(21),29.53(21)
005300,롯데칠성,"28,321","2,246","1,344",7.93,4.75,9.25,148.91(21),70.49(21),"40,757.95(21)","13,115",11.86,"142,089",1.09,"3,040",2.25(21),21.95(21)
006280,녹십자,"17,075","1,044",800,6.12,4.68,5.17,64.17(21),111.90(21),"2,144.64(21)","5,692",23.45,"113,673",1.17,"2,000",0.92(21),18.53(21)
375500,DL이앤씨,"74,891","5,156","4,724",6.88,6.31,10.31,87.44(21),117.70(21),"3,785.83(21)","10,459",3.62,"107,702",0.35,"1,321",-,-
011210,현대위아,"81,471","2,214","2,492",2.72,3.06,7.98,109.72(21),156.71(21),"2,318.09(21)","9,947",5.42,"132,909",0.41,773,0.88(21),29.84(21)
042670,현대두산인프라코어,"46,937","3,322","2,312",7.08,4.92,15.44,249.12(21),78.09(21),"1,270.35(21)","1,170",6.51,"8,217",0.93,-,-,-(21)
051600,한전KPS,"14,305","1,121",919,7.83,6.42,8.07,28.32(21),256.68(21),"12,262.33(21)","2,042",16.70,"25,917",1.32,"1,142",3.11(21),54.68(21)
069960,현대백화점,"48,202","3,594","2,738",7.46,5.68,4.84,71.64(21),46.35(21),"3,829.64(21)","9,327",6.87,"210,443",0.30,"1,180",1.46(21),12.69(21)
285130,SK케미칼,"20,896(21)","5,552(21)","2,687(21)",26.57(21),12.86(21),11.19(21),54.11(21),58.95(21),"1,999.64(21)","8,521(21)",17.49(21),"105,002(21)",1.42(21),"3,000(21)",2.01(21),34.95(21)
010120,LS ELECTRIC,"32,565","2,171","1,205",6.67,3.70,7.83,89.81(21),162.06(21),901.85(21),"3,986",13.17,"53,520",0.98,"1,196",1.79(21),34.61(21)
000210,DL,"51,820","3,736","1,573",7.21,3.03,4.45,83.72(21),148.37(21),"5,309.50(21)","8,029",7.76,"187,635",0.33,"1,200",3.12(21),4.97(21)
001230,동국제강,"84,769","7,785","6,462",9.18,7.62,21.20,127.65(21),41.46(21),266.48(21),"6,601",2.02,"35,785",0.37,440,2.52(21),6.79(21)
