,년,표준버스정류장ID,정류장명,위도,경도,승차수,하차수
151,2019,100000395,종로5가.광장시장,37.5708806,126.9993346,970474,869785
152,2019,100000396,종로6가.동대문종합시장,37.5709624,127.0034638,1283951,710004
153,2019,100000397,종로6가.동대문종합시장,37.5711272,127.0057137,913207,1268266
154,2019,100000398,동대문역.흥인지문,37.5723023,127.0134512,2576278,1787294
155,2019,100900002,경진빌라,37.601864,126.9579482,3164,9464
156,2019,100900003,혜화초등학교,37.5872532,126.9998516,91378,46992
157,2019,100900004,명륜시장.성대후문,37.5887246,126.9952305,6938,263979
158,2019,100900005,오거리.한옥마을입구,37.5794963,126.9695411,32165,3922
159,2019,100900006,완성빌라,37.6033399,126.9576665,7558,29189
160,2019,100900007,삼청파출소,37.5818136,126.981251,97588,2544
161,2019,100900008,양현관,37.589768,126.9937685,1132,102469
162,2019,100900009,종로5가입구.혜화경찰서,37.5717472,126.997541,14735,24443
163,2019,100900010,상명대후문,37.6040715,126.9574633,20830,21067
164,2019,100900011,원서고개,37.5830805,126.9878088,33914,56636
165,2019,100900012,샘미용실,37.5902545,126.9934084,469,43649
166,2019,100900013,창신쌍용2단지.한성대후문,37.5812647,127.0127581,254299,2654
167,2019,100900014,산정빌라,37.6052835,126.9575782,845,2550
168,2019,100900015,경희궁자이2.3단지,37.5687871,126.9640686,23615,22965
169,2019,100900016,오거리,37.6070621,126.9622629,767,8957
170,2019,100900017,국민생활관,37.5897456,126.9988619,252348,22977
171,2019,100900018,구기빌라,37.6061334,126.9579809,72,3783
172,2019,100900019,마트앞,37.6066987,126.9587564,8885,35135
173,2019,100900020,통인시장,37.580453,126.9687504,83917,1682
174,2019,100900021,양현관,37.5897914,126.9936043,122898,571
175,2019,100900022,국민은행.세검정지점,37.6048873,126.9607859,3769,8727
176,2019,100900024,삼청동주민센터,37.5842638,126.9819071,167414,1216
177,2019,100900025,세검초등학교,37.6042522,126.9614907,4342,3046
178,2019,100900026,빨래터.고희동미술관,37.5831008,126.9889727,27432,29088
179,2019,100900027,혜화역4번출구,37.5834632,127.0014561,140094,692662
180,2019,100900028,방송통신대앞,37.5786973,127.0019926,26548,62232
181,2019,100900029,화정박물관,37.6049806,126.9652007,15682,2677
182,2019,100900030,서울대치과대학,37.577306,126.9978748,1092,25919
183,2019,100900031,서울국제고등학교,37.5890715,126.9972902,167002,16486
184,2019,100900032,샘미용실,37.5903095,126.9932227,69839,251
185,2019,100900033,효제초교.연동교회.김마리아활동터,37.5736413,127.0022087,55315,70212
186,2019,100900034,박노수미술관,37.5809967,126.9666034,171156,558
187,2019,100900035,금융연수원,37.5865984,126.9815691,124954,499
188,2019,100900036,화정박물관,37.6048011,126.9648837,6824,350
189,2019,100900037,인사미술공간.세탁소,37.5814109,126.989367,25947,49255
190,2019,100900038,서울대치과대학,37.5776016,126.9977741,20869,12007
191,2019,100900039,낙산공원,37.5804037,127.0087215,72061,113678
192,2019,100900040,명륜3가종점,37.5909483,126.9928636,108998,165728
193,2019,100900041,수성동계곡,37.5820791,126.9642467,209265,153298
194,2019,100900042,서울대학교병원현관.암병원현관,37.5789514,126.9981567,231765,281211
195,2019,100900043,이화사거리,37.5769483,127.0020084,127,5816
196,2019,100900044,서대문3번출구,37.566416,126.9662183,507067,138983
197,2019,100900045,통일부,37.5875948,126.9859476,11305,418
198,2019,100900046,명륜시장.성대후문,37.588511,126.9952543,299322,3340
199,2019,100900047,평창파출소,37.6056812,126.9668167,207404,55095
200,2019,100900048,가회동주민센터,37.579939,126.9848497,35180,11928
201,2019,100900049,독립문초등학교,37.5738474,126.9607207,20585,40251
202,2019,100900050,아름다운실버,37.61201,126.9654637,1115,4311
203,2019,100900051,창덕궁,37.5760892,126.99062,15206,29210
204,2019,100900052,북촌한옥마을입구.정세권활동터,37.5815997,126.9849422,87456,9894
205,2019,100900053,청룡사.보문파크뷰자이아파트,37.5800189,127.0170071,111364,7119
206,2019,100900054,소나무집,37.611277,126.9641104,2611,17685
207,2019,100900056,경복궁,37.5769501,126.9793377,24769,47955
208,2019,100900057,종로3가.1.3.5호선,37.5710729,126.9921806,316110,224505
209,2019,100900058,안국선원.삼거리,37.5827909,126.984994,61654,16877
210,2019,100900059,사우디대사관앞.경남빌라,37.5841056,126.9850311,28186,1459
211,2019,100900060,종로센트레빌후문.e편한세상보문아파트,37.5817743,127.0161855,41719,2152
212,2019,100900061,경희궁자이4단지,37.5707022,126.9621148,65965,55778
213,2019,100900062,언덕앞,37.6089539,126.9637921,1547,11178
214,2019,100900063,혜화우체국,37.5860376,127.0006137,59110,168851
215,2019,100900064,새마을금고,37.587737,126.996518,169063,5137
216,2019,100900065,광화문새마을금고,37.5793687,126.9711466,21357,27626
217,2019,100900066,종로4가.종묘공원,37.5706328,126.9944624,25883,31573
218,2019,100900067,인왕빌딩,37.6079283,126.9577443,3776,2235
219,2019,100900068,중앙중고,37.5830921,126.9869652,38988,43586
220,2019,100900069,감사원,37.5862106,126.98529,137776,2458
221,2019,100900070,명신초.삼선푸르지오.힐스테이트,37.5821062,127.0145562,96396,2119
222,2019,100900071,영천시장,37.570005,126.9628351,138215,58202
223,2019,100900072,청련사입구,37.6079803,126.9624312,674,10060
224,2019,100900073,한국사회과학자료원,37.5736332,126.9641432,35657,102481
225,2019,100900074,감나무골공원,37.6124059,126.9699479,1089,2801
226,2019,100900075,혜화역1번출구,37.5834542,127.0019407,511402,77328
227,2019,100900076,서울대병원장례식장,37.5805553,126.9974309,6223,9493
228,2019,100900077,완성빌라,37.603402,126.9575011,9784,20722
229,2019,100900078,낙원상가,37.5736776,126.9872918,26487,77600
230,2019,100900079,힐탑,37.6116055,126.9690205,1815,6160
231,2019,100900080,상명대후문,37.6040255,126.9573354,14474,44350
232,2019,100900081,수운회관,37.5751598,126.9865172,8515,36150
233,2019,100900082,넓은마당,37.5752728,126.962888,35263,111945
234,2019,100900083,화인빌라,37.6129345,126.9685386,2733,8828
235,2019,100900085,서울대어린이병원응급실.갑상선센터,37.5781188,126.9995029,3294,63244
236,2019,100900086,헌법재판소.안국역,37.5775584,126.9856755,34689,200698
237,2019,100900088,무악현대아파트후문,37.576306,126.962001,34906,119146
238,2019,100900089,박종화고택입구,37.6143102,126.9676873,1078,4985
239,2019,100900090,이화사거리,37.5764698,127.0020107,31417,172347
240,2019,100900091,산정빌라,37.6051519,126.9574922,918,5013
241,2019,100900092,아름다운가게.정독도서관,37.5788991,126.985022,50542,50629
242,2019,100900093,쌍용아파트입구.창신역,37.5805112,127.0149635,58146,104001
243,2019,100900094,천사유치원,37.574648,126.9618603,39988,108258
244,2019,100900095,보현산신각,37.6134825,126.965779,1309,6560
245,2019,100900096,원남로터리,37.5762373,126.9975114,11914,35940
246,2019,100900097,구기빌라,37.6062686,126.9579797,259,983
247,2019,100900098,평창동산림제3초소,37.6172373,126.9770474,4352,5484
248,2019,100900099,통인시장.종로구보건소,37.580335,126.9687504,6927,123377
