"구분별(1)",구분별(2),구분별(3),2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
"구분별(1)",구분별(2),구분별(3),평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분),30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,30분 미만,30분-1시간 미만,1시간-1시간 30분 미만,1시간 30분-2시간 미만,2시간 이상,평균소요시간 (분)
"서울시",지역대분류,도심권,38.1,36.5,49.3,12.2,2.0,0.0,34.5,40.1,46.0,12.2,1.5,0.3,32.9,46.8,37.7,12.7,2.4,0.3,31.9,35.5,50.1,12.8,1.4,0.2,37.9,46.0,13.3,2.0,0.8,34.1,47.6,14.8,2.4,1.0,36.2
"서울시",지역대분류,동북권,35.9,38.6,49.1,10.6,1.6,0.1,33.5,42.5,43.5,12.2,1.6,0.3,32.1,37.8,42.2,17.2,2.4,0.5,35.5,39.0,42.4,16.8,1.6,0.3,35.3,44.8,16.7,2.6,0.7,33.4,44.1,18.1,3.5,0.9,38.0
"서울시",지역대분류,서북권,36.3,41.3,47.2,10.4,0.9,0.2,32.8,39.5,48.6,10.1,1.7,0.2,33.6,39.8,42.2,15.8,1.7,0.4,34.6,41.0,42.6,14.1,1.7,0.6,33.1,49.1,15.3,1.9,0.6,38.0,42.3,15.4,3.5,0.7,35.8
"서울시",지역대분류,서남권,35.4,40.2,48.0,10.1,1.6,0.1,33.1,37.9,42.0,16.6,2.5,0.8,35.8,37.4,44.2,15.2,2.7,0.5,35.3,35.7,45.6,17.0,1.4,0.3,33.8,43.5,19.2,2.6,0.9,31.5,44.5,20.2,2.9,0.9,38.6
"서울시",지역대분류,동남권,35.3,37.3,51.7,9.5,1.4,0.1,33.2,42.2,43.9,12.1,1.3,0.5,32.2,40.4,44.1,13.8,1.2,0.5,33.0,37.4,46.8,13.6,2.0,0.1,38.1,41.9,17.2,2.2,0.7,33.8,45.6,17.5,2.2,0.8,36.4
"서울시",지역소분류,소계,36.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울시",지역소분류,종로구,-,31.1,55.3,11.6,2.0,0.1,35.4,41.1,49.9,8.3,0.6,0.1,31.8,51.4,35.9,10.8,1.9,-,30.8,40.2,46.8,9.9,3.1,-,36.8,47.3,14.7,1.0,0.2,34.1,48.7,13.8,2.4,0.9,35.3
"서울시",지역소분류,중구,37.4,39.1,46.1,12.9,1.9,-,34.1,48.2,40.2,8.2,2.7,0.7,30.4,47.0,34.5,14.4,3.0,1.1,32.5,24.9,60.2,13.9,0.3,0.7,38.6,43.7,14.3,2.1,1.3,31.8,44.6,17.5,4.0,2.1,39.3
"서울시",지역소분류,용산구,39.3,38.5,47.2,12.3,2.0,0.0,34.1,35.0,46.2,17.1,1.5,0.2,35.0,43.6,40.7,13.2,2.4,0.1,32.4,37.7,47.1,14.4,0.7,-,38.2,46.5,11.7,2.7,0.9,35.4,48.5,14.0,1.7,0.3,35.0
"서울시",지역소분류,성동구,34.5,44.4,46.9,7.5,1.0,0.1,31.1,35.9,53.4,8.6,1.9,0.2,31.8,47.7,38.0,13.4,0.6,0.2,30.7,36.3,47.2,15.2,1.1,0.1,32.8,50.1,14.5,2.2,0.4,34.0,53.1,9.5,3.0,0.4,34.2
