,name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(지배주주%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
51,sk바팜(SK바이오팜),2552,-1097,-1150,-42.96,-45.04,-29.82,44.91(21),282.72(21),"1,010.57(21)",-1485,-48.68,4289,16.86,-,-,-
52,meritz화재(메리츠화재),"118,614(21)","9,076(21)","6,609(21)",7.65(21),5.57(21),26.12(21),"1,056.04(21)",^,"4,389.04(21)","5,471(21)",6.13(21),"22,115(21)",1.52(21),620(21),1.85(21),10.15(21)
53,메리츠 화재(메리츠화재),"118,614(21)","9,076(21)","6,609(21)",7.65(21),5.57(21),26.12(21),"1,056.04(21)",^,"4,389.04(21)","5,471(21)",6.13(21),"22,115(21)",1.52(21),620(21),1.85(21),10.15(21)
54,에프앤에프(F&F),18796,5665,4229,30.14,22.5,60.07,176.06(21),21.72(21),"11,022.55(21)",11049,13.3,22592,6.51,1554,0.58(21),18.15(21)
55,엪앤엪(F&F),18796,5665,4229,30.14,22.5,60.07,176.06(21),21.72(21),"11,022.55(21)",11049,13.3,22592,6.51,1554,0.58(21),18.15(21)
56,meritz금융지주(메리츠금융지주),"356,499(21)",21677,16340,5.05(21),3.88(21),28.65,"1,091.74(21)",^,"9,717.30(21)",8034,5.3,29521,1.44,90,0.48(21),3.35(21)
57,메리츠금융(메리츠금융지주),"356,499(21)",21677,16340,5.05(21),3.88(21),28.65,"1,091.74(21)",^,"9,717.30(21)",8034,5.3,29521,1.44,90,0.48(21),3.35(21)
58,한조해(한국조선해양),179455,-3878,647,-2.16,0.36,0.56,119.86(21),66.38(21),"4,766.69(21)",769,107.91,137429,0.6,-,-,-
59,한조양(한국조선해양),179455,-3878,647,-2.16,0.36,0.56,119.86(21),66.38(21),"4,766.69(21)",769,107.91,137429,0.6,-,-,-
60,에스케이스퀘어(SK스퀘어),50817,8639,9743,17,19.17,5.42,34.31(21),107.34(21),"51,465.72(21)",6576,5.57,124975,0.29,-,-,-
61,에스케이 스퀘어(SK스퀘어),50817,8639,9743,17,19.17,5.42,34.31(21),107.34(21),"51,465.72(21)",6576,5.57,124975,0.29,-,-,-
62,시제이제일제당(CJ제일제당),302378,17541,9055,5.8,3,10.44,148.51(21),61.09(21),"7,393.50(21)",42106,8.28,442814,0.79,5659,1.29(21),13.08(21)
63,씨제이제일제당(CJ제일제당),302378,17541,9055,5.8,3,10.44,148.51(21),61.09(21),"7,393.50(21)",42106,8.28,442814,0.79,5659,1.29(21),13.08(21)
64,netmarble(넷마블),26786,-1049,-4693,-3.92,-17.52,-7.61,77.50(21),61.37(21),"71,333.18(21)",-4987,-12.75,66727,0.95,456,0.42(21),18.01(21)
65,넷 마블(넷마블),26786,-1049,-4693,-3.92,-17.52,-7.61,77.50(21),61.37(21),"71,333.18(21)",-4987,-12.75,66727,0.95,456,0.42(21),18.01(21)
66,강원 랜드(강원랜드),12962,2587,1607,19.96,12.39,4.66,17.66(21),270.31(21),"3,103.60(21)",723,31.82,16698,1.38,472,,
67,kangwonland(강원랜드),12962,2587,1607,19.96,12.39,4.66,17.66(21),270.31(21),"3,103.60(21)",723,31.82,16698,1.38,472,,
68,hanon systems(한온시스템),85276,2592,1398,3.04,1.64,5.68,232.45(21),97.00(21),"4,416.20(21)",249,38.49,4393,2.19,361,2.68(21),62.27(21)
69,hanonsystem(한온시스템),85276,2592,1398,3.04,1.64,5.68,232.45(21),97.00(21),"4,416.20(21)",249,38.49,4393,2.19,361,2.68(21),62.27(21)
70,엘지유플러스(LG유플러스),139422,10253,6591,7.35,4.73,8.29,143.39(21),64.09(21),202.06(21),1498,7.57,18854,0.6,649,4.04(21),33.35(21)
71,엘지유쁠(LG유플러스),139422,10253,6591,7.35,4.73,8.29,143.39(21),64.09(21),202.06(21),1498,7.57,18854,0.6,649,4.04(21),33.35(21)
72,에스케이아이이테크놀로지(SK아이이테크놀로지),5884,-501,-465,-8.52,-7.9,-2.25,43.69(21),228.99(21),"3,006.86(21)",-692,-104.18,30540,2.36,-,-,-
73,에스케이아이테크(SK아이이테크놀로지),5884,-501,-465,-8.52,-7.9,-2.25,43.69(21),228.99(21),"3,006.86(21)",-692,-104.18,30540,2.36,-,-,-
74,에이치디현대(HD현대),607560,36842,25200,6.06,4.15,21.3,201.29(21),62.33(21),"8,515.69(21)",18567,3.24,105500,0.57,4150,10.34(21),-296.46(21)
75,에치디현대(HD현대),607560,36842,25200,6.06,4.15,21.3,201.29(21),62.33(21),"8,515.69(21)",18567,3.24,105500,0.57,4150,10.34(21),-296.46(21)
76,orion(오리온),27919,4588,3371,16.43,12.07,13.69,36.11(21),172.20(21),"7,312.90(21)",8308,14.84,65470,1.88,794,0.72(21),11.50(21)
