name,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%)
일진 머티리얼(일진머티리얼즈),7943,984,711,12.39,8.95,6.11,29.96(21),299.36(21),"4,137.52(21)",1486,43.46,27199,2.38,300,0.22(21),22.04(21)
gs리테일(GS리테일),111676,2175,1017,1.95,0.91,2.66,114.21(21),39.34(21),"3,875.77(21)",1033,27.4,39697,0.71,995,3.95(21),15.04(21)
지에스리테일(GS리테일),111676,2175,1017,1.95,0.91,2.66,114.21(21),39.34(21),"3,875.77(21)",1033,27.4,39697,0.71,995,3.95(21),15.04(21)
한진kal(한진칼),2020,160,8470,7.92,419.31,42.98,105.83(21),24.64(21),505.18(21),12943,3.21,36567,1.14,-,-,-
한진 칼(한진칼),2020,160,8470,7.92,419.31,42.98,105.83(21),24.64(21),505.18(21),12943,3.21,36567,1.14,-,-,-
lotte쇼핑(롯데쇼핑),155690,4660,759,2.99,0.49,0.4,183.35(21),51.72(21),"8,887.52(21)",1412,66.63,351481,0.27,2846,3.21(21),-27.08(21)
롯데 쇼핑(롯데쇼핑),155690,4660,759,2.99,0.49,0.4,183.35(21),51.72(21),"8,887.52(21)",1412,66.63,351481,0.27,2846,3.21(21),-27.08(21)
제일 기획(제일기획),41804,3229,2242,7.72,5.36,19.03,125.51(21),161.92(21),"6,385.50(21)",1932,11.44,12034,1.84,1117,4.33(21),60.59(21)
cheil기획(제일기획),41804,3229,2242,7.72,5.36,19.03,125.51(21),161.92(21),"6,385.50(21)",1932,11.44,12034,1.84,1117,4.33(21),60.59(21)
한화 생명(한화생명),"271,736(21)","13,520(21)",8910,4.98(21),4.60(21),10.07,"1,119.05(21)",^,230.30(21),923,2.81,6190,0.42,2249,3.27(21),11.59(21)
hanwhalife(한화생명),"271,736(21)","13,520(21)",8910,4.98(21),4.60(21),10.07,"1,119.05(21)",^,230.30(21),923,2.81,6190,0.42,2249,3.27(21),11.59(21)
